anio,mes,linea,linea-uri,linea-cdmx,same_as_wikidata_linea,estacion-uri,same_as_wikidata_estaciones,afluencia-media
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,Potrero,https://wikidata.org/entity/Q6824678,22811.033333333333
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,Tlatelolco,https://wikidata.org/entity/Q3431323,23381.666666666668
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,Universidad,https://wikidata.org/entity/Q6824764,68303.0
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,Viveros / Derechos Humanos,https://wikidata.org/entity/Q7335651,24956.933333333334
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,Zapata,https://wikidata.org/entity/Q6824782,39088.96666666667
2010,--04,Linea 4,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Bondojito,https://wikidata.org/entity/Q6824506,6035.733333333334
2010,--04,Linea 4,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Canal del Norte,https://wikidata.org/entity/Q6824521,8591.6
2010,--04,Linea 4,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Candelaria,https://wikidata.org/entity/Q2936246,6872.866666666667
2010,--04,Linea 4,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Consulado,https://wikidata.org/entity/Q6824549,4054.5
2010,--04,Linea 4,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Fray Servando,https://wikidata.org/entity/Q6824573,6975.3
2010,--04,Linea 4,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Jamaica,https://wikidata.org/entity/Q3377006,6806.7
2010,--04,Linea 4,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Martín Carrera,https://wikidata.org/entity/Q6824623,17067.033333333333
2010,--04,Linea 4,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Morelos,https://wikidata.org/entity/Q9035123,7511.633333333333
2010,--04,Linea 4,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Santa Anita,https://wikidata.org/entity/Q6824703,2073.133333333333
2010,--04,Linea 4,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Talismán,https://wikidata.org/entity/Q6824726,5658.233333333334
2010,--04,Linea 5,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Aragón,https://wikidata.org/entity/Q6824481,7262.633333333333
2010,--04,Linea 5,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Autobuses del Norte,https://wikidata.org/entity/Q6824496,27534.133333333335
2010,--04,Linea 5,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Consulado,https://wikidata.org/entity/Q6824549,3883.8333333333335
2010,--04,Linea 5,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Eduardo Molina,https://wikidata.org/entity/Q6824560,6774.0
2010,--04,Linea 5,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Hangares,https://wikidata.org/entity/Q6824582,4598.033333333334
2010,--04,Linea 5,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Instituto del Petróleo,https://wikidata.org/entity/Q6824591,5710.033333333334
2010,--04,Linea 5,linea-5,Line 5,https://wikidata.org/entity/Q1152238,La Raza,https://wikidata.org/entity/Q3429492,10503.3
2010,--04,Linea 5,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Misterios,https://wikidata.org/entity/Q6824625,7856.166666666667
2010,--04,Linea 5,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Oceanía,https://wikidata.org/entity/Q522857,8335.566666666668
2010,--04,Linea 5,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Pantitlán,https://wikidata.org/entity/Q3352997,81027.93333333333
2010,--04,Linea 5,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Politécnico,https://wikidata.org/entity/Q3431375,36060.36666666667
2010,--04,Linea 5,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Terminal Aérea,https://wikidata.org/entity/Q6824733,14019.566666666668
2010,--04,Linea 5,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Valle Gómez,https://wikidata.org/entity/Q9092402,3917.266666666667
2010,--04,Linea 6,linea-6,Line 6,https://wikidata.org/entity/Q3238990,Deportivo 18 de Marzo,https://wikidata.org/entity/Q3431319,1540.5666666666666
2010,--04,Linea 6,linea-6,Line 6,https://wikidata.org/entity/Q3238990,El Rosario,https://wikidata.org/entity/Q3429496,19257.866666666665
2010,--04,Linea 6,linea-6,Line 6,https://wikidata.org/entity/Q3238990,Ferrería/Arena Ciudad de México,https://wikidata.org/entity/Q619422,15435.733333333334
2010,--04,Linea 6,linea-6,Line 6,https://wikidata.org/entity/Q3238990,Instituto del Petróleo,https://wikidata.org/entity/Q6824591,3577.866666666667
2010,--04,Linea 6,linea-6,Line 6,https://wikidata.org/entity/Q3238990,La Villa-Basílica,https://wikidata.org/entity/Q2836136,14485.633333333333
2010,--04,Linea 6,linea-6,Line 6,https://wikidata.org/entity/Q3238990,Lindavista,https://wikidata.org/entity/Q6824614,16706.466666666667
2010,--04,Linea 6,linea-6,Line 6,https://wikidata.org/entity/Q3238990,Martín Carrera,https://wikidata.org/entity/Q6824623,26555.633333333335
2010,--04,Linea 6,linea-6,Line 6,https://wikidata.org/entity/Q3238990,Norte 45,https://wikidata.org/entity/Q6824650,6288.833333333333
2010,--04,Linea 6,linea-6,Line 6,https://wikidata.org/entity/Q3238990,Tezozómoc,https://wikidata.org/entity/Q6824734,1401.7
2010,--04,Linea 6,linea-6,Line 6,https://wikidata.org/entity/Q3238990,UAM-Azcapotzalco,https://wikidata.org/entity/Q6824498,6467.733333333334
2010,--04,Linea 6,linea-6,Line 6,https://wikidata.org/entity/Q3238990,Vallejo,https://wikidata.org/entity/Q6824762,4560.466666666666
2010,--04,Linea 7,linea-7,Line 7,https://wikidata.org/entity/Q929645,Aquiles Serdán,https://wikidata.org/entity/Q6824477,11574.266666666666
2010,--04,Linea 7,linea-7,Line 7,https://wikidata.org/entity/Q929645,Auditorio,https://wikidata.org/entity/Q6824492,23334.933333333334
2010,--04,Linea 7,linea-7,Line 7,https://wikidata.org/entity/Q929645,Barranca del Muerto,https://wikidata.org/entity/Q2885482,35599.46666666667
2010,--04,Linea 7,linea-7,Line 7,https://wikidata.org/entity/Q929645,Camarones,https://wikidata.org/entity/Q6824514,11953.7
2010,--04,Linea 7,linea-7,Line 7,https://wikidata.org/entity/Q929645,Constituyentes,https://wikidata.org/entity/Q5944586,6864.266666666666
2010,--04,Linea 7,linea-7,Line 7,https://wikidata.org/entity/Q929645,El Rosario,https://wikidata.org/entity/Q3429496,35270.13333333333
2010,--04,Linea 7,linea-7,Line 7,https://wikidata.org/entity/Q929645,Mixcoac,https://wikidata.org/entity/Q6824627,21708.7
2010,--04,Linea 7,linea-7,Line 7,https://wikidata.org/entity/Q929645,Polanco,https://wikidata.org/entity/Q6824672,26374.566666666666
2010,--04,Linea 7,linea-7,Line 7,https://wikidata.org/entity/Q929645,Refinería,https://wikidata.org/entity/Q9067431,5744.933333333333
2010,--04,Linea 7,linea-7,Line 7,https://wikidata.org/entity/Q929645,San Antonio,https://wikidata.org/entity/Q6824698,11484.466666666667
2010,--04,Linea 7,linea-7,Line 7,https://wikidata.org/entity/Q929645,San Joaquín,https://wikidata.org/entity/Q6824700,16196.6
2010,--04,Linea 7,linea-7,Line 7,https://wikidata.org/entity/Q929645,San Pedro de los Pinos,https://wikidata.org/entity/Q5841189,10394.633333333333
2010,--04,Linea 7,linea-7,Line 7,https://wikidata.org/entity/Q929645,Tacuba,https://wikidata.org/entity/Q3356901,6491.133333333333
2010,--04,Linea 7,linea-7,Line 7,https://wikidata.org/entity/Q929645,Tacubaya,https://wikidata.org/entity/Q2744158,4517.033333333334
